Name,,Sample,Expression
ENSG00000143514.17,,GTEX.13G51.0426.SM.5K7Z5,68.19
ENSG00000143514.17,,GTEX.13JUV.0526.SM.5K7XE,28.7512
ENSG00000143514.17,,GTEX.13JVG.1426.SM.5MR4W,31.8942
ENSG00000143514.17,,GTEX.13N11.0326.SM.5LUA3,20.117
ENSG00000143514.17,,GTEX.13N1W.0726.SM.5MR57,24.1243
ENSG00000143514.17,,GTEX.13N2G.0826.SM.5IJE6,27.6382
ENSG00000143514.17,,GTEX.13NYB.0626.SM.5MR47,38.8446
ENSG00000143514.17,,GTEX.13NYS.1626.SM.5J2MU,23.1262
ENSG00000143514.17,,GTEX.13NZ8.0326.SM.5L3DF,91.9599
ENSG00000143514.17,,GTEX.13NZ9.0926.SM.5KM12,35.2638
ENSG00000143514.17,,GTEX.13NZA.1426.SM.5KM4Y,19.4183
ENSG00000143514.17,,GTEX.13O21.3026.SM.5J2NI,24.5031
ENSG00000143514.17,,GTEX.13O3O.0726.SM.5J1N7,64.3469
ENSG00000143514.17,,GTEX.13O3P.1026.SM.5N9E7,22.8037
ENSG00000143514.17,,GTEX.13O3Q.0526.SM.5KM18,33.6462
ENSG00000143514.17,,GTEX.13O61.0726.SM.5J2MD,38.5788
ENSG00000143514.17,,GTEX.13OVG.0326.SM.5KM57,29.9823
ENSG00000143514.17,,GTEX.13OVH.1026.SM.5J2NP,42.3043
ENSG00000143514.17,,GTEX.13OVJ.0726.SM.5KM1W,31.4681
ENSG00000143514.17,,GTEX.13OVL.0626.SM.5KM13,29.042
ENSG00000143514.17,,GTEX.13OW5.0726.SM.5KLZK,18.5732
ENSG00000143514.17,,GTEX.13OW6.0826.SM.5L3GA,53.5522
ENSG00000143514.17,,GTEX.13OW7.0926.SM.5L3EX,132.58
ENSG00000143514.17,,GTEX.13OW8.1726.SM.5L3GO,29.5074
ENSG00000143514.17,,GTEX.13PL7.1726.SM.5J2NX,29.2166
ENSG00000143514.17,,GTEX.13PVQ.0926.SM.5IJFD,23.2792
ENSG00000143514.17,,GTEX.13QBU.0726.SM.5J2OA,52.5332
ENSG00000143514.17,,GTEX.13QJ3.1026.SM.5QGQU,32.2628
ENSG00000143514.17,,GTEX.13QJC.0526.SM.5RQKB,41.0749
ENSG00000143514.17,,GTEX.13RTJ.1126.SM.5S2UJ,29.3029
ENSG00000143514.17,,GTEX.13S7M.2126.SM.5S2QR,45.5892
ENSG00000143514.17,,GTEX.13S86.0626.SM.5Q5E7,34.6934
ENSG00000143514.17,,GTEX.13SLW.1226.SM.5S2Q7,27.6432
ENSG00000143514.17,,GTEX.13U4I.1426.SM.5J2M3,23.952
ENSG00000143514.17,,GTEX.13VXT.1426.SM.5LU4B,30.565
ENSG00000143514.17,,GTEX.13VXU.2726.SM.5LU4N,49.1061
ENSG00000143514.17,,GTEX.13W3W.0326.SM.5NQ9F,22.0715
ENSG00000143514.17,,GTEX.13X6K.1626.SM.5O9BP,46.2171
ENSG00000143514.17,,GTEX.13YAN.1026.SM.5O9CF,36.5588
ENSG00000143514.17,,GTEX.1445S.1426.SM.G9EQL,32.7197
ENSG00000143514.17,,GTEX.144GM.0126.SM.5Q5AX,28.7649
ENSG00000143514.17,,GTEX.144GN.0426.SM.5O9AP,23.3862
ENSG00000143514.17,,GTEX.144GO.0226.SM.5LUB1,54.7181
ENSG00000143514.17,,GTEX.145LS.1226.SM.5Q5D9,48.9682
ENSG00000143514.17,,GTEX.145LT.0326.SM.5LUAD,46.8701
ENSG00000143514.17,,GTEX.145LU.0526.SM.5O9AT,66.0283
ENSG00000143514.17,,GTEX.145ME.0226.SM.5S2QN,70.9397
ENSG00000143514.17,,GTEX.145MF.0726.SM.5Q5BT,30.8932
ENSG00000143514.17,,GTEX.145MH.0626.SM.5NQAK,26.0902
ENSG00000143514.17,,GTEX.145MN.0926.SM.5NQBT,36.573
ENSG00000143514.17,,GTEX.145MO.1326.SM.5Q5EF,32.3045
ENSG00000143514.17,,GTEX.146FH.1226.SM.5NQB6,24.8162
ENSG00000143514.17,,GTEX.146FQ.0926.SM.5LUAV,32.0881
ENSG00000143514.17,,GTEX.1477Z.0626.SM.5NQB7,26.4018
ENSG00000143514.17,,GTEX.147F3.0726.SM.5NQ9U,28.9742
ENSG00000143514.17,,GTEX.147F4.0926.SM.5Q5EO,74.3287
ENSG00000143514.17,,GTEX.147GR.1226.SM.5TDCL,21.8232
ENSG00000143514.17,,GTEX.147JS.1226.SM.5RQK4,29.043
ENSG00000143514.17,,GTEX.148VI.0226.SM.5RQKA,32.6404
ENSG00000143514.17,,GTEX.148VJ.0826.SM.5LU8V,31.2427
ENSG00000143514.17,,GTEX.1497J.0326.SM.5Q5CN,40.8586
ENSG00000143514.17,,GTEX.14A5H.1226.SM.H6Q69,21.0519
ENSG00000143514.17,,GTEX.14A6H.0526.SM.5NQAZ,28.0915
ENSG00000143514.17,,GTEX.14ABY.1126.SM.5Q5F8,27.241
ENSG00000143514.17,,GTEX.14AS3.0926.SM.5TDD6,25.0922
ENSG00000143514.17,,GTEX.14BIL.1226.SM.5O9CN,32.3269
ENSG00000143514.17,,GTEX.14BMU.0526.SM.5P9IE,44.4232
ENSG00000143514.17,,GTEX.14BMV.0826.SM.5P9I1,86.7143
ENSG00000143514.17,,GTEX.14C39.0326.SM.5TDDX,34.8259
ENSG00000143514.17,,GTEX.14C5O.1126.SM.5TDEH,32.4511
ENSG00000143514.17,,GTEX.14DAQ.0926.SM.5PNV1,54.4491
ENSG00000143514.17,,GTEX.14DAR.0226.SM.5S2PR,39.5341
ENSG00000143514.17,,GTEX.14E1K.0226.SM.62LDT,37.9792
ENSG00000143514.17,,GTEX.14E6C.1426.SM.5ZZWH,36.466
ENSG00000143514.17,,GTEX.14E6D.1026.SM.5S2RS,26.1049
ENSG00000143514.17,,GTEX.14E6E.0426.SM.73KUE,32.8128
ENSG00000143514.17,,GTEX.14E7W.1326.SM.5RQIV,52.6741
ENSG00000143514.17,,GTEX.14ICK.0726.SM.H6Q6B,28.1314
ENSG00000143514.17,,GTEX.14JG1.0926.SM.5YY8W,41.0368
ENSG00000143514.17,,GTEX.14JG6.0326.SM.6AJBT,41.1474
ENSG00000143514.17,,GTEX.14JIY.1326.SM.6AJB3,38.7675
ENSG00000143514.17,,GTEX.14LLW.0726.SM.5ZZVV,29.3369
ENSG00000143514.17,,GTEX.14LZ3.0726.SM.5YYAB,39.1457
